company,website,symbol,dividend,anouncement_date,record_date,ex_date,pay_date
Fidus Investment Corp,http://www.fdus.com,FDUS,0.04,2018-11-01,2018-12-07,2018-12-06,2018-12-21
First Merchants Corp,http://www.firstmerchants.com,FRME,0.22,2018-11-07,2018-12-07,2018-12-06,2018-12-21
First US Bancshares Inc,http://www.firstusbank.com,FUSB,0.02,2018-11-16,2018-12-07,2018-12-06,2019-01-02
Flushing Financial Corp,http://www.flushingbank.com,FFIC,0.2,2018-11-20,2018-12-07,2018-12-06,2018-12-28
Garrison Capital Inc,http://www.garrisoncapitalbdc.com,GARS,0.23,2018-11-07,2018-12-07,2018-12-06,2018-12-21
General Motors Co,http://www.gm.com,GM,0.38,2018-10-30,2018-12-07,2018-12-06,2018-12-20
Genuine Parts Co,http://www.genpt.com,GPC,0.72,2018-11-19,2018-12-07,2018-12-06,2019-01-02
ICF International Inc,http://www.icf.com,ICFI,0.14,2018-11-01,2018-12-07,2018-12-06,2019-01-16
Ingersoll-Rand PLC,http://www.company.ingersollrand.com,IR,0.53,2018-10-03,2018-12-07,2018-12-06,2018-12-31
ITT Inc,http://www.itt.com,ITT,0.134,2018-10-16,2018-12-07,2018-12-06,2018-12-28
Kforce Inc,http://www.kforce.com,KFRC,0.18,2018-10-31,2018-12-07,2018-12-06,2018-12-21
Kimberly-Clark Corp,http://www.kimberly-clark.com,KMB,1,2018-11-15,2018-12-07,2018-12-06,2019-01-03
Lancaster Colony Corp,http://www.lancastercolony.com,LANC,0.65,2018-11-14,2018-12-07,2018-12-06,2018-12-28
Lear Corp,http://www.lear.com,LEA,0.7,2018-11-15,2018-12-07,2018-12-06,2018-12-26
Leon's Furniture Ltd,,LNF:CA,0.14,2018-11-14,2018-12-07,2018-12-06,2019-01-07
Lucara Diamond Corp,,LUC:CA,0.025,2018-11-09,2018-12-07,2018-12-06,2018-12-20
Lundin Mining Corp,,LUN:CA,0.03,2018-10-24,2018-12-07,2018-12-06,2018-12-19
ManTech International Corp,http://www.mantech.com,MANT,0.25,2018-11-01,2018-12-07,2018-12-06,2018-12-21
Maple Leaf Foods Inc,,MFI:CA,0.13,2018-10-25,2018-12-07,2018-12-06,2018-12-28
Mercantile Bank Corp,http://www.mercbank.com,MBWM,0.25,2018-10-16,2018-12-07,2018-12-06,2018-12-19
Mercantile Bank Corp,http://www.mercbank.com,MBWM,0.75,2018-10-16,2018-12-07,2018-12-06,2018-12-19
Mueller Industries Inc,http://www.muellerindustries.com,MLI,0.1,2018-11-09,2018-12-07,2018-12-06,2018-12-21
Myers Industries Inc,http://www.myersindustries.com,MYE,0.135,2018-11-05,2018-12-07,2018-12-06,2019-01-03
National Oilwell Varco Inc,http://www.natoil.com,NOV,0.05,2018-11-13,2018-12-07,2018-12-06,2018-12-21
Navient Corp,http://www.navient.com,NAVI,0.16,2018-11-12,2018-12-07,2018-12-06,2018-12-21
New Senior Investment Group Inc,http://www.newseniorinv.com,SNR,0.13,2018-11-01,2018-12-07,2018-12-06,2018-12-21
Oritani Financial Corp,http://www.oritani.com,ORIT,0.15,2018-11-20,2018-12-07,2018-12-06,2018-12-21
OUTFRONT Media Inc,http://www.outfrontmedia.com,OUT,0.36,2018-10-23,2018-12-07,2018-12-06,2018-12-31
PepsiCo Inc,http://www.pepsico.com,PEP,0.9275,2018-11-15,2018-12-07,2018-12-06,2019-01-07
Prudential Bancorp Inc,http://www.psbanker.com,PBIP,0.05,2018-11-19,2018-12-07,2018-12-06,2018-12-21
Public Service Enterprise Group Inc,http://www.pseg.com,PEG,0.45,2018-11-20,2018-12-07,2018-12-06,2018-12-31
Regions Financial Corp,http://www.regions.com,RF,0.14,2018-10-18,2018-12-07,2018-12-06,2019-01-02
Ross Stores Inc,http://www.rossstores.com,ROST,0.225,2018-11-19,2018-12-07,2018-12-06,2018-12-28
Sealed Air Corp,http://www.sealedair.com,SEE,0.16,2018-10-04,2018-12-07,2018-12-06,2018-12-21
State Auto Financial Corp,http://www.StateAuto.com,STFC,0.1,2018-11-09,2018-12-07,2018-12-06,2018-12-28
Tapestry Inc,http://www.coach.com,TPR,0.3375,2018-11-15,2018-12-07,2018-12-06,2018-12-31
Tegna Inc,http://www.tegna.com,TGNA,0.07,2018-10-25,2018-12-07,2018-12-06,2019-01-02
Toromont Industries Ltd,,TIH:CA,0.23,2018-11-05,2018-12-07,2018-12-06,2019-01-03
TrustCo Bank Corp N Y,http://www.trustcobank.com,TRST,0.068125,2018-11-19,2018-12-07,2018-12-06,2019-01-02
UniFirst Corp,http://www.unifirst.com,UNF,0.1125,2018-10-22,2018-12-07,2018-12-06,2019-01-04
Walmart Inc,http://www.stock.walmart.com,WMT,0.52,2018-02-20,2018-12-07,2018-12-06,2019-01-02
Weingarten Realty Investors,http://www.weingarten.com,WRI,0.395,2018-10-24,2018-12-07,2018-12-06,2018-12-14
Westwood Holdings Group Inc,http://www.westwoodgroup.com,WHG,0.72,2018-10-25,2018-12-07,2018-12-06,2019-01-02
AltaGas Ltd,,ALA:CA,0.1825,2018-10-30,2018-11-26,2018-11-23,2018-12-17
Aramark,http://www.aramark.com,ARMK,0.11,2018-11-13,2018-11-26,2018-11-23,2018-12-06
Assurant Inc,http://www.assurant.com,AIZ,0.6,2018-11-09,2018-11-26,2018-11-23,2018-12-17
Atmos Energy Corp,http://www.atmosenergy.com,ATO,0.525,2018-11-07,2018-11-26,2018-11-23,2018-12-10
Axa Equitable Holdings Inc,http://www.axaequitableholdings.com,EQH,0.13,2018-11-12,2018-11-26,2018-11-23,2018-12-03
Caldwell Partners International Inc,,CWL:CA,0.0225,2018-11-13,2018-11-26,2018-11-23,2018-12-14
CDW Corp,http://www.cdw.com,CDW,0.295,2018-10-31,2018-11-26,2018-11-23,2018-12-10
Central Bancompany Inc,,CBCY,1.25,2018-11-14,2018-11-26,2018-11-23,2018-12-03
Central Bancompany Inc,,CBCY,2,2018-11-14,2018-11-26,2018-11-23,2018-12-03
CenturyLink Inc,http://www.centurylink.com,CTL,0.54,2018-11-14,2018-11-26,2018-11-23,2018-12-07
D.R. Horton Inc,http://www.drhorton.com,DHI,0.15,2018-11-08,2018-11-26,2018-11-23,2018-12-10
Dunkin' Brands Group Inc,http://www.dunkinbrands.com,DNKN,0.3475,2018-10-25,2018-11-26,2018-11-23,2018-12-05
First Hawaiian Inc,http://www.fhb.com,FHB,0.24,2018-10-25,2018-11-26,2018-11-23,2018-12-07
Gluskin Sheff + Associates Inc,,GS:CA,0.25,2018-11-14,2018-11-26,2018-11-23,2018-12-05
Husky Energy Inc,,HSE:CA,0.125,2018-10-25,2018-11-26,2018-11-23,2019-01-02
LCI Industries,http://www.lci1.com,LCII,0.6,2018-11-15,2018-11-26,2018-11-23,2018-12-07
Marcus Corp,http://www.marcuscorp.com,MCS,0.15,2018-11-01,2018-11-26,2018-11-23,2018-12-17
Matthews International Corp,http://www.matw.com,MATW,0.2,2018-11-15,2018-11-26,2018-11-23,2018-12-10
Minerals Technologies Inc,http://www.mineralstech.com,MTX,0.05,2018-10-24,2018-11-26,2018-11-23,2018-12-07
MKS Instruments Inc,http://www.mksinst.com,MKSI,0.2,2018-10-30,2018-11-26,2018-11-23,2018-12-07
National Bankshares Inc,http://www.nationalbankshares.com,NKSH,0.63,2018-11-15,2018-11-26,2018-11-23,2018-12-03
Nordstrom Inc,http://shop.nordstrom.com,JWN,0.37,2018-11-14,2018-11-26,2018-11-23,2018-12-11
Patriot National Bancorp Inc,http://www.bankpatriot.com,PNBK,0.01,2018-11-15,2018-11-26,2018-11-23,2018-12-04
Prudential Financial Inc,http://www.prudential.com,PRU,0.9,2018-11-12,2018-11-26,2018-11-23,2018-12-13
Radian Group Inc,http://www.radian.biz,RDN,0.0025,2018-11-14,2018-11-26,2018-11-23,2018-12-07
Resources Connection Inc,http://www.rgp.com,RECN,0.13,2018-11-14,2018-11-26,2018-11-23,2018-12-11
Russel Metals Inc,,RUS:CA,0.38,2018-11-07,2018-11-26,2018-11-23,2018-12-14
Scotts Miracle-Gro Co,http://www.scotts.com,SMG,0.55,2018-11-07,2018-11-26,2018-11-23,2018-12-10
Switch Inc,http://www.switch.com,SWCH,0.0147,2018-11-13,2018-11-26,2018-11-23,2018-12-06
Tractor Supply Co,http://www.tractorsupply.com,TSCO,0.31,2018-11-08,2018-11-26,2018-11-23,2018-12-11
Tronox Ltd,http://www.tronox.com,TROX,0.045,2018-11-15,2018-11-26,2018-11-23,2018-12-07
Wingstop Inc,http://www.wingstop.com,WING,3.05,2018-11-14,2018-11-26,2018-11-23,2018-12-03
Xinyuan Real Estate Co Ltd,http://www.xyre.com,XIN,0.1,2018-11-13,2018-11-26,2018-11-23,2018-12-12
Yum! Brands Inc,http://www.yum.com,YUM,0.36,2018-11-16,2018-11-26,2018-11-23,2018-12-07
AMC Entertainment Holdings Inc,http://www.amctheatres.com,AMC,0.2,2018-11-01,2018-12-10,2018-12-07,2018-12-26
American Finance Trust Inc,http://www.americanfinancetrust.com,AFIN,0.0916667,2018-10-01,2018-12-10,2018-12-07,2018-12-17
Auburn National Bancorporation Inc,http://www.auburnbank.com,AUBN,0.24,2018-11-13,2018-12-10,2018-12-07,2018-12-27
Becton Dickinson and Co,http://www.bd.com,BDX,0.77,2018-11-19,2018-12-10,2018-12-07,2018-12-31
Canadian Natural Resources Ltd,,CNQ:CA,0.335,2018-11-01,2018-12-10,2018-12-07,2019-01-01
Cato Corp,http://www.catofashions.com,CATO,0.33,2018-11-21,2018-12-10,2018-12-07,2019-01-02
CB Financial Services Inc,http://www.communitybank.tv,CBFV,0.23,2018-11-21,2018-12-10,2018-12-07,2018-12-20
Chico's FAS Inc,http://www.chicosfas.com,CHS,0.085,2018-11-09,2018-12-10,2018-12-07,2018-12-21
CME Group Inc,http://www.cmegroup.com,CME,0.7,2018-11-07,2018-12-10,2018-12-07,2018-12-27
CNO Financial Group Inc,http://www.cnoinc.com,CNO,0.1,2018-11-15,2018-12-10,2018-12-07,2018-12-24
Escalade Inc,http://www.escaladeinc.com,ESCA,0.125,2018-11-01,2018-12-10,2018-12-07,2018-12-17
FedEx Corp,http://www.fedex.com,FDX,0.65,2018-11-16,2018-12-10,2018-12-07,2019-01-02
First American Financial Corp,http://www.firstam.com,FAF,0.42,2018-11-06,2018-12-10,2018-12-07,2018-12-17
Gannett Co Inc,http://www.gannett.com,GCI,0.16,2018-10-17,2018-12-10,2018-12-07,2018-12-24
Genpact Ltd,http://www.genpact.com,G,0.075,2018-10-23,2018-12-10,2018-12-07,2018-12-19
Ladder Capital Corp,http://www.laddercapital.com,LADR,0.57,2018-11-01,2018-12-10,2018-12-07,2019-01-24
MGM Resorts International,http://www.mgmresorts.com,MGM,0.12,2018-10-30,2018-12-10,2018-12-07,2018-12-14
Occidental Petroleum Corp,http://www.oxy.com,OXY,0.78,2018-10-18,2018-12-10,2018-12-07,2019-01-15
OFS Credit Company Inc,,OCCI,0.167,2018-10-16,2018-12-10,2018-12-07,2018-12-31
Power Corporation of Canada,,POW:CA,0.382,2018-11-08,2018-12-10,2018-12-07,2018-12-31
PPL Corp,http://www.pplweb.com,PPL,0.41,2018-11-16,2018-12-10,2018-12-07,2019-01-02
RCI Hospitality Holdings Inc,http://www.rcihospitality.com,RICK,0.03,2018-11-15,2018-12-10,2018-12-07,2018-12-26
SCANA Corp,http://www.scana.com,SCG,0.1237,2018-10-25,2018-12-10,2018-12-07,2019-01-02
South Jersey Industries Inc,http://www.sjindustries.com,SJI,0.2875,2018-11-19,2018-12-10,2018-12-07,2018-12-27
Torstar Corp,,TS_B:CA,0.025,2018-10-31,2018-12-10,2018-12-07,2018-12-31
Travelers Companies Inc,http://www.travelers.com,TRV,0.77,2018-10-18,2018-12-10,2018-12-07,2018-12-31
UMB Financial Corp,http://www.umb.com,UMBF,0.3,2018-10-23,2018-12-10,2018-12-07,2019-01-02
VF Corp,http://www.vfc.com,VFC,0.51,2018-10-19,2018-12-10,2018-12-07,2018-12-20
Anthem Inc,http://www.antheminc.com,ANTM,0.75,2018-10-31,2018-12-05,2018-12-04,2018-12-21
Avery Dennison Corp,http://www.averydennison.com,AVY,0.52,2018-10-25,2018-12-05,2018-12-04,2018-12-19
Avnet Inc,http://www.avnet.com,AVT,0.2,2018-11-19,2018-12-05,2018-12-04,2018-12-19
Chicago Rivet & Machine Co,http://www.chicagorivet.com,CVR,0.21,2018-11-19,2018-12-05,2018-12-04,2018-12-20
CSG Systems International Inc,http://www.csgi.com,CSGS,0.21,2018-11-19,2018-12-05,2018-12-04,2018-12-20
DXC Technology Co,http://www.dxc.technology,DXC,0.19,2018-10-11,2018-12-05,2018-12-04,2019-01-15
EnPro Industries Inc,http://www.enproindustries.com,NPO,0.24,2018-10-31,2018-12-05,2018-12-04,2018-12-19
Fanhua Inc,http://www.fanhuaholdings.com,FANH,0.25,2018-11-19,2018-12-05,2018-12-04,2018-12-20
Greenhill & Co Inc,http://www.greenhill.com,GHL,0.05,2018-10-24,2018-12-05,2018-12-04,2018-12-19
Hammond Power Solutions Inc,,HPS_A:CA,0.06,2018-11-22,2018-12-05,2018-12-04,2018-12-12
Hancock Whitney Corp,http://www.hancockwhitney.com,HWC,0.27,2018-10-29,2018-12-05,2018-12-04,2018-12-14
Jack in the Box Inc,http://www.jackinthebox.com,JACK,0.4,2018-11-19,2018-12-05,2018-12-04,2018-12-18
Juniper Networks Inc,http://www.juniper.net,JNPR,0.18,2018-10-23,2018-12-05,2018-12-04,2018-12-26
Lam Research Corp,http://www.lamresearch.com,LRCX,1.1,2018-11-13,2018-12-05,2018-12-04,2018-12-26
Match Group Inc,http://www.mtch.com,MTCH,2,2018-11-07,2018-12-05,2018-12-04,2018-12-19
Medley Capital Corp,http://www.medleycapitalcorp.com,MCC,0.1,2018-11-19,2018-12-05,2018-12-04,2018-12-20
Perspecta Inc,http://www.perspecta.com,PRSP,0.05,2018-11-14,2018-12-05,2018-12-04,2019-01-15
PJT Partners Inc,http://www.pjtpartners.com,PJT,0.05,2018-10-30,2018-12-05,2018-12-04,2018-12-19
Popular Inc,http://www.popular.com,BPOP,0.25,2018-11-14,2018-12-05,2018-12-04,2019-01-02
Schlumberger NV,http://www.slb.com,SLB,0.5,2018-10-19,2018-12-05,2018-12-04,2019-01-11
Scorpio Tankers Inc,http://www.scorpiotankers.com,STNG,0.01,2018-10-31,2018-12-05,2018-12-04,2018-12-13
Southwest Airlines Co,http://www.southwest.com,LUV,0.16,2018-11-14,2018-12-05,2018-12-04,2019-01-02
Westbond Enterprises Corp,,WBE:CA,0.0025,2018-11-19,2018-12-05,2018-12-04,2018-12-20
Ameren Corp,http://www.amereninvestors.com,AEE,0.475,2018-10-12,2018-12-12,2018-12-11,2018-12-31
American International Group Inc,http://www.aig.com,AIG,0.32,2018-10-31,2018-12-12,2018-12-11,2018-12-26
Anadarko Petroleum Corp,http://www.anadarko.com,APC,0.3,2018-11-15,2018-12-12,2018-12-11,2018-12-26
Forrester Research Inc,http://www.forrester.com,FORR,0.2,2018-10-24,2018-12-12,2018-12-11,2018-12-26
FS Investment Corp,http://www.fsinvestmentcorp.com,FSIC,0.19,2018-11-07,2018-12-12,2018-12-11,2019-01-02
Hewlett Packard Enterprise Co,http://www.hpe.com,HPE,0.1125,2018-09-20,2018-12-12,2018-12-11,2019-01-02
Kohls Corp,http://www.Kohls.com,KSS,0.61,2018-11-20,2018-12-12,2018-12-11,2018-12-26
Public Storage,http://www.publicstorage.com,PSA,2,2018-10-30,2018-12-12,2018-12-11,2018-12-27
Ship Finance International Ltd,http://www.shipfinance.bm,SFL,0.35,2018-11-20,2018-12-12,2018-12-11,2018-12-28
WestJet Airlines Ltd,,WJA:CA,0.14,2018-10-30,2018-12-12,2018-12-11,2018-12-28
ADT Inc,http://www.adt.com,ADT,0.035,2018-11-07,2018-12-14,2018-12-13,2019-01-04
AKITA Drilling Ltd,,AKT_A:CA,0.085,2018-11-09,2018-12-14,2018-12-13,2019-01-04
Albemarle Corp,http://www.albemarle.com,ALB,0.335,2018-10-30,2018-12-14,2018-12-13,2019-01-02
Amerisafe Inc,http://www.amerisafe.com,AMSF,3.5,2018-10-24,2018-12-14,2018-12-13,2018-12-28
Amerisafe Inc,http://www.amerisafe.com,AMSF,0.22,2018-10-24,2018-12-14,2018-12-13,2018-12-28
Ares Capital Corp,http://www.arescapitalcorp.com,ARCC,0.39,2018-10-31,2018-12-14,2018-12-13,2018-12-28
AstroNova Inc,http://www.astronovainc.com,ALOT,0.07,2018-11-21,2018-12-14,2018-12-13,2018-12-21
Automatic Data Processing Inc,http://www.adp.com,ADP,0.79,2018-11-06,2018-12-14,2018-12-13,2019-01-01
BancorpSouth Bank,http://www.bancorpsouth.com,BXS,0.17,2018-10-24,2018-12-14,2018-12-13,2019-01-02
Bank of Ocean City,,AOCN,0.8,2018-11-19,2018-12-15,2018-12-13,2019-01-02
Barings BDC Inc,http://www.baringsbdc.com,BBDC,0.1,2018-10-11,2018-12-14,2018-12-13,2018-12-21
BCE Inc,,BCE:CA,0.755,2018-11-01,2018-12-14,2018-12-13,2019-01-15
Bed Bath & Beyond Inc,http://www.bedbathandbeyond.com,BBBY,0.16,2018-09-26,2018-12-14,2018-12-13,2019-01-15
BNS Split Corp II,,BSC:CA,0.1975,2018-11-22,2018-12-14,2018-12-13,2018-12-21
BrightSphere Investment Group PLC,http://www.bsig.com,BSIG,0.1,2018-11-01,2018-12-14,2018-12-13,2018-12-28
Broadridge Financial Solutions Inc,http://www.broadridge.com,BR,0.485,2018-11-08,2018-12-14,2018-12-13,2019-01-03
CAE Inc,,CAE:CA,0.1,2018-11-13,2018-12-14,2018-12-13,2018-12-31
Carolina Financial Corp,http://www.haveanicebank.com,CARO,0.07,2018-10-24,2018-12-14,2018-12-13,2019-01-04
Cenovus Energy Inc,,CVE:CA,0.05,2018-10-31,2018-12-14,2018-12-13,2018-12-31
CenterState Bank Corp,http://www.centerstatebank.com,CSFL,0.1,2018-10-22,2018-12-14,2018-12-13,2018-12-31
Chesapeake Utilities Corp,http://www.chpk.com,CPK,0.37,2018-11-08,2018-12-14,2018-12-13,2019-01-07
CM Finance Inc,http://www.cmfn-inc.com,CMFN,0.25,2018-11-08,2018-12-14,2018-12-13,2019-01-03
Comerica Inc,http://www.comerica.com,CMA,0.6,2018-11-06,2018-12-14,2018-12-13,2019-01-01
Community Bank System Inc,http://www.communitybankna.com,CBU,0.38,2018-11-21,2018-12-14,2018-12-13,2019-01-10
Community Trust Bancorp Inc,http://www.ctbi.com,CTBI,0.36,2018-10-24,2018-12-15,2018-12-13,2019-01-01
Conmed Corp,http://www.conmed.com,CNMD,0.2,2018-11-08,2018-12-14,2018-12-13,2019-01-07
Constellation Software Inc,,CSU:CA,1,2018-10-25,2018-12-14,2018-12-13,2019-01-04
Corby Spirit and Wine Ltd,,CSW_A:CA,0.44,2018-11-07,2018-12-14,2018-12-13,2019-01-11
Corus Entertainment Inc,,CJR_B:CA,0.06,2018-10-19,2018-12-14,2018-12-13,2018-12-28
Crown Castle International Corp,http://www.crowncastle.com,CCI,1.125,2018-10-17,2018-12-14,2018-12-13,2018-12-31
Crown Crafts Inc,http://www.crowncrafts.com,CRWS,0.08,2018-11-08,2018-12-14,2018-12-13,2019-01-04
Devon Energy Corp,http://www.devonenergy.com,DVN,0.08,2018-09-12,2018-12-14,2018-12-13,2018-12-28
Digital Realty Trust Inc,http://www.digitalrealty.com,DLR,1.01,2018-11-13,2018-12-14,2018-12-13,2019-01-15
Domino's Pizza Inc,http://www.dominos.com,DPZ,0.55,2018-10-16,2018-12-14,2018-12-13,2018-12-28
E. W. Scripps Co,http://www.scripps.com,SSP,0.05,2018-11-07,2018-12-14,2018-12-13,2018-12-26
Economic Investment Trust Ltd,,EVT:CA,0.3,2018-11-06,2018-12-14,2018-12-13,2018-12-31
Encana Corp,,ECA:CA,0.015,2018-11-01,2018-12-14,2018-12-13,2018-12-31
EnerSys,http://www.enersys.com,ENS,0.175,2018-11-07,2018-12-14,2018-12-13,2018-12-28
Enterprise Financial Services Corp,http://www.enterprisebank.com,EFSC,0.13,2018-10-22,2018-12-14,2018-12-13,2018-12-28
Entravision Communications Corp,http://www.entravision.com,EVC,0.05,2018-11-07,2018-12-14,2018-12-13,2018-12-31
Equitable Group Inc,,EQB:CA,0.28,2018-11-08,2018-12-14,2018-12-13,2019-01-03
ESSA Bancorp Inc,http://ir.essabank.com,ESSA,0.1,2018-11-21,2018-12-16,2018-12-13,2018-12-28
Essendant Inc,http://www.essendant.com,ESND,0.14,2018-10-24,2018-12-14,2018-12-13,2019-01-15
Evolution Petroleum Corp,http://www.evolutionpetroleum.com,EPM,0.1,2018-11-08,2018-12-14,2018-12-13,2018-12-31
Extra Space Storage Inc,http://www.extraspace.com,EXR,0.86,2018-11-13,2018-12-14,2018-12-13,2018-12-31
Fauquier Bankshares Inc,http://www.tfb.bank,FBSS,0.12,2018-11-19,2018-12-14,2018-12-13,2019-01-02
FBL Financial Group Inc,http://www.fblfinancial.com,FFG,0.46,2018-11-14,2018-12-14,2018-12-13,2018-12-31
Federal Agricultural Mortgage Corp,http://www.farmermac.com,AGM,0.58,2018-10-31,2018-12-14,2018-12-13,2018-12-31
Fidelity National Financial Inc,http://www.fnf.com,FNF,0.3,2018-10-24,2018-12-14,2018-12-13,2018-12-28
Fidelity National Information Services Inc,http://www.fisglobal.com,FIS,0.32,2018-10-25,2018-12-14,2018-12-13,2018-12-28
First Capital Inc,http://www.firstharrison.com,FCAP,0.23,2018-11-20,2018-12-14,2018-12-13,2018-12-28
First Financial Bankshares Inc,http://www.ffin.com,FFIN,0.21,2018-10-30,2018-12-14,2018-12-13,2019-01-02
First Horizon National Corp,http://www.firsthorizon.com,FHN,0.12,2018-10-23,2018-12-14,2018-12-13,2019-01-02
Fronsac REIT,,FRO_UN:CA,0.00168,2018-08-24,2018-12-14,2018-12-13,2018-12-31
Gaming and Leisure Properties Inc,http://www.glpropinc.com,GLPI,0.68,2018-10-15,2018-12-14,2018-12-13,2018-12-28
Garmin Ltd,http://www.garmin.com,GRMN,0.53,2018-02-21,2018-12-14,2018-12-13,2018-12-31
GATX Corp,http://www.gatx.com,GATX,0.44,2018-10-26,2018-12-14,2018-12-13,2018-12-31
George Weston Ltd,,WN:CA,0.515,2018-11-20,2018-12-15,2018-12-13,2019-01-01
Gilead Sciences Inc,http://www.gilead.com,GILD,0.57,2018-10-25,2018-12-14,2018-12-13,2018-12-28
Global Payments Inc,http://www.globalpaymentsinc.com,GPN,0.01,2018-10-30,2018-12-14,2018-12-13,2018-12-28
Global Water Resources Inc,http://www.gwresources.com,GWRS,0.023861,2018-11-08,2018-12-14,2018-12-13,2018-12-28
Golar LNG Ltd,http://www.golarlng.com,GLNG,0.15,2018-11-05,2018-12-14,2018-12-13,2019-01-03
Graphic Packaging Holding Co,http://www.graphicpkg.com,GPK,0.075,2018-11-15,2018-12-15,2018-12-13,2019-01-05
Hamilton Lane Inc,http://www.hamiltonlane.com,HLNE,0.2125,2018-11-06,2018-12-14,2018-12-13,2019-01-07
Harvest Capital Credit Corp,http://www.harvestcapitalcredit.com,HCAP,0.095,2018-11-08,2018-12-14,2018-12-13,2018-12-21
Hawthorn Bancshares Inc,http://www.hawthornbancshares.com,HWBK,0.1,2018-11-08,2018-12-15,2018-12-13,2019-01-01
Heritage Insurance Holdings Inc,http://www.heritagepci.com,HRTG,0.06,2018-10-31,2018-12-15,2018-12-13,2019-01-04
Hill-Rom Holdings Inc,http://www.hill-rom.com,HRC,0.2,2018-11-07,2018-12-14,2018-12-13,2018-12-31
Huntsman Corp,http://www.huntsman.com,HUN,0.1625,2018-11-07,2018-12-14,2018-12-13,2018-12-31
Insteel Industries Inc,http://www.insteel.com,IIIN,0.03,2018-11-14,2018-12-14,2018-12-13,2019-01-04
Intact Financial Corp,,IFC:CA,0.7,2018-11-07,2018-12-14,2018-12-13,2018-12-31
Intercontinental Exchange Inc,http://www.intercontinentalexchange.com,ICE,0.24,2018-10-31,2018-12-14,2018-12-13,2018-12-31
Intertape Polymer Group Inc,,ITP:CA,0.14,2018-11-08,2018-12-14,2018-12-13,2018-12-28
James River Group Holdings Ltd,http://www.jrgh.net,JRVR,0.3,2018-11-07,2018-12-14,2018-12-13,2018-12-28
Leggett & Platt Inc,http://www.leggett.com,LEG,0.38,2018-11-06,2018-12-14,2018-12-13,2019-01-15
Loblaw Companies Ltd,,L:CA,0.295,2018-11-14,2018-12-15,2018-12-13,2018-12-30
Macy's Inc,http://www.macysinc.com,M,0.3775,2018-10-26,2018-12-14,2018-12-13,2019-01-02
Magellan Aerospace Corp,,MAL:CA,0.1,2018-11-02,2018-12-14,2018-12-13,2018-12-31
Maxar Technologies Ltd,,MAXR:CA,0.37,2018-10-31,2018-12-14,2018-12-13,2018-12-31
MCAN Mortgage Corp,,MKP:CA,0.32,2018-09-24,2018-12-14,2018-12-13,2019-01-02
Melcor Developments Ltd,,MRD:CA,0.13,2018-11-06,2018-12-14,2018-12-13,2018-12-28
Merchants Bancorp,http://www.merchantsbankofindiana.com,MBIN,0.06,2018-11-14,2018-12-14,2018-12-13,2018-12-31
Morguard Corp,,MRC:CA,0.15,2018-11-08,2018-12-14,2018-12-13,2018-12-31
Motorola Solutions Inc,http://www.motorolasolutions.com,MSI,0.57,2018-11-15,2018-12-14,2018-12-13,2019-01-15
MutualFirst Financial Inc,http://www.bankwithmutual.com,MFSF,0.2,2018-11-15,2018-12-14,2018-12-13,2018-12-28
Nasdaq Inc,http://www.business.nasdaq.com,NDAQ,0.44,2018-10-24,2018-12-14,2018-12-13,2018-12-28
National Storage Affiliates Trust,http://www.nationalstorageaffiliates.com,NSA,0.3,2018-11-15,2018-12-14,2018-12-13,2018-12-31
New Jersey Resources Corp,http://www.njresources.com,NJR,0.2925,2018-11-13,2018-12-14,2018-12-13,2019-01-02
New Mountain Finance Corp,http://www.newmountainfinance.com,NMFC,0.34,2018-11-07,2018-12-14,2018-12-13,2018-12-28
Northern Trust Corp,http://www.northerntrust.com,NTRS,0.55,2018-10-16,2018-12-14,2018-12-13,2019-01-01
NorthWestern Corp,http://www.northwesternenergy.com,NWE,0.55,2018-10-23,2018-12-14,2018-12-13,2018-12-31
Pason Systems Inc,,PSI:CA,0.18,2018-11-07,2018-12-14,2018-12-13,2018-12-31
PolyOne Corp,http://www.polyone.com,POL,0.195,2018-10-11,2018-12-14,2018-12-13,2019-01-09
Preferred Apartment Communities Inc,http://www.pacapts.com,APTS,0.26,2018-11-01,2018-12-14,2018-12-13,2019-01-15
Prosperity Bancshares Inc,http://www.prosperitybankusa.com,PB,0.41,2018-10-24,2018-12-15,2018-12-13,2019-01-02
Quarterhill Inc,,QTRH:CA,0.0125,2018-11-08,2018-12-14,2018-12-13,2019-01-09
Red Rock Resorts Inc,http://www.redrockresorts.com,RRR,0.1,2018-11-02,2018-12-14,2018-12-13,2019-01-01
Redwood Trust Inc,http://www.redwoodtrust.com,RWT,0.3,2018-11-07,2018-12-14,2018-12-13,2018-12-28
Renaissancere Holdings Ltd,http://www.renre.com,RNR,0.33,2018-11-09,2018-12-14,2018-12-13,2018-12-31
Retail Opportunity Investments Corp,http://www.roireit.net,ROIC,0.195,2018-10-23,2018-12-14,2018-12-13,2018-12-28
Schneider National Inc,http://www.schneider.com,SNDR,0.06,2018-10-31,2018-12-14,2018-12-13,2019-01-07
Service Corporation International,http://www.sci-corp.com,SCI,0.17,2018-11-14,2018-12-14,2018-12-13,2018-12-31
Shaw Communications Inc,,SJR_B:CA,0.09875,2018-10-25,2018-12-14,2018-12-13,2018-12-28
Silvercrest Asset Management Group Inc,http://www.silvercrestgroup.com,SAMG,0.14,2018-11-01,2018-12-14,2018-12-13,2018-12-21
